FinalCustomerName,Segment,BU,DU,Month,Revenue
A145,Media & Technology,EMBEDDED ENGINEERING AND V&V GROUP,V&V - M&T AND IP,Jun,31160.31713759
A145,Media & Technology,EMBEDDED ENGINEERING AND V&V GROUP,V&V - M&T AND IP,May,14638.872193160001
A146,Media & Technology,DIGITAL PRODUCTS & SERVICES,DIGITAL COMMS. & TECH,Apr,255.19538001000012
A146,Media & Technology,EMBEDDED ENGINEERING AND V&V GROUP,V&V - M&T AND IP,Apr,2842.07227825
A146,Media & Technology,EMBEDDED ENGINEERING AND V&V GROUP,V&V - M&T AND IP,Jun,0.0
A146,Media & Technology,EMBEDDED ENGINEERING AND V&V GROUP,V&V - M&T AND IP,May,2842.0235256700003
A148,Media & Technology,DIGITAL PRODUCTS & SERVICES,DIGITAL COMMS. & TECH,Apr,0.008125430000006872
A149,Media & Technology,DIGITAL PRODUCTS & SERVICES,DIGITAL COMMS. & TECH,Apr,2275.1204000000002
A149,Media & Technology,DIGITAL PRODUCTS & SERVICES,DIGITAL COMMS. & TECH,Jun,2275.1204000000002
A149,Media & Technology,DIGITAL PRODUCTS & SERVICES,DIGITAL COMMS. & TECH,May,2275.1204000000002
A15,Media & Technology,EMBEDDED ENGINEERING AND V&V GROUP,V&V - M&T AND IP,Apr,25871.36912
A15,Media & Technology,EMBEDDED ENGINEERING AND V&V GROUP,V&V - M&T AND IP,Jun,23498.74356
A15,Media & Technology,EMBEDDED ENGINEERING AND V&V GROUP,V&V - M&T AND IP,May,23498.74356
A15,Media & Technology,MEDIA,MEDIA,Apr,14300.756800000001
A15,Media & Technology,MEDIA,MEDIA,Jun,13650.7224
A15,Media & Technology,MEDIA,MEDIA,May,13650.7224
A150,Media & Technology,DIGITAL PRODUCTS & SERVICES,DIGITAL COMMS. & TECH,Apr,13081.9423
A150,Media & Technology,DIGITAL PRODUCTS & SERVICES,DIGITAL COMMS. & TECH,Jun,13081.9423
A150,Media & Technology,DIGITAL PRODUCTS & SERVICES,DIGITAL COMMS. & TECH,May,13081.9423
A150,Media & Technology,EMBEDDED ENGINEERING AND V&V GROUP,V&V - M&T AND IP,Jun,28845.2765
A150,Media & Technology,EMBEDDED ENGINEERING AND V&V GROUP,V&V - M&T AND IP,May,10156.7875
A151,Media & Technology,DIGITAL PRODUCTS & SERVICES,DIGITAL COMMS. & TECH,Apr,2881.31810515
A151,Media & Technology,MEDIA,MEDIA,Jun,19128.781675410002
A152,Plant Engineering,INTEGRATED ASSET MGMT,INTEGRATED ASSET MGMT,Apr,6461.55319718
A152,Plant Engineering,INTEGRATED ASSET MGMT,INTEGRATED ASSET MGMT,Jun,7822.773983360001
A152,Plant Engineering,INTEGRATED ASSET MGMT,INTEGRATED ASSET MGMT,May,5740.1775217800005
